#Vehicle Trip Report,,,,,,,,,,,,,,
#Report For :07/05/2023 22:29:40 - 14/05/2023 22:29:48,,,,,,,,,,,,,,
Vehicle,Trip-No,Vehicle-Category,Trip-Start-Location,Trip-Start-In-Time,Trip-Start-Out-Time,Trip-End-Location,Trip-End-In-Time,Trip-End-Out-Time,Distance,Time-Duration,Running-Time,Dest-Detention-Time,Halt-Hours,Route-Traveled
DL01 LAC 9427,1,46,DC46,8/5/2023 7:41,8/5/2023 8:55,DC46,8/5/2023 10:32,8/5/2023 10:32,9.81,01hr 36min,00hr 35min,00hr 0min,01hr 1min,Route Link
DL01 LAC 9427,2,46,DC46,8/5/2023 10:32,8/5/2023 10:32,DC46,8/5/2023 10:49,8/5/2023 13:50,0.66,00hr 17min,00hr 3min,03hr 0min,00hr 14min,Route Link
DL01 LAC 9427,3,46,DC46,8/5/2023 10:49,8/5/2023 13:50,DC46,8/5/2023 14:53,8/5/2023 15:27,5.58,01hr 2min,00hr 23min,00hr 34min,00hr 39min,Route Link
DL01 LAC 9427,4,46,DC46,8/5/2023 14:53,8/5/2023 15:27,DC46,9/5/2023 8:08,9/5/2023 9:27,19.47,16hr 40min,00hr 57min,01hr 19min,15hr 43min,Route Link
DL01 LAC 9427,5,46,DC46,9/5/2023 8:08,9/5/2023 9:27,DC46,9/5/2023 9:37,9/5/2023 9:51,1.32,00hr 9min,00hr 5min,00hr 13min,00hr 4min,Route Link
DL01 LAC 9427,6,46,DC46,9/5/2023 9:37,9/5/2023 9:51,DC46,9/5/2023 11:55,9/5/2023 11:55,15.44,02hr 4min,00hr 45min,00hr 0min,01hr 19min,Route Link
DL01 LAC 9427,7,46,DC46,9/5/2023 11:55,9/5/2023 11:55,DC46,9/5/2023 11:56,9/5/2023 14:32,0.11,00hr 0min,00hr 0min,02hr 35min,00hr 0min,Route Link
DL01 LAC 9427,8,46,DC46,9/5/2023 11:56,9/5/2023 14:32,DC46,9/5/2023 15:25,9/5/2023 15:26,0.87,00hr 53min,00hr 4min,00hr 1min,00hr 49min,Route Link
DL01 LAC 9427,9,46,DC46,9/5/2023 15:25,9/5/2023 15:26,DC52,9/5/2023 17:44,9/5/2023 17:45,25.56,02hr 17min,01hr 12min,00hr 0min,01hr 5min,Route Link
DL01 LAC 9427,10,46,DC52,9/5/2023 17:44,9/5/2023 17:45,DC46,10/5/2023 7:54,10/5/2023 11:08,7.27,14hr 8min,00hr 21min,03hr 14min,13hr 47min,Route Link
DL01 LAC 9427,11,46,DC46,10/5/2023 7:54,10/5/2023 11:08,DC46,10/5/2023 11:29,10/5/2023 11:55,1.15,00hr 21min,00hr 5min,00hr 26min,00hr 15min,Route Link
DL01 LAC 9427,12,46,DC46,10/5/2023 11:29,10/5/2023 11:55,DC52,10/5/2023 16:43,10/5/2023 16:43,30.66,04hr 47min,01hr 45min,00hr 0min,03hr 2min,Route Link
DL01 LAC 9427,13,46,DC52,10/5/2023 16:43,10/5/2023 16:43,DC46,11/5/2023 8:07,11/5/2023 11:47,9.99,15hr 23min,00hr 35min,03hr 40min,14hr 48min,Route Link
DL01 LAC 9427,14,46,DC46,11/5/2023 8:07,11/5/2023 11:47,DC46,11/5/2023 17:03,11/5/2023 17:04,36.52,05hr 15min,01hr 54min,00hr 1min,03hr 21min,Route Link
DL01 LAC 9427,15,46,DC46,11/5/2023 17:03,11/5/2023 17:04,DC46,11/5/2023 17:14,11/5/2023 17:15,0.58,00hr 9min,00hr 2min,00hr 1min,00hr 7min,Route Link
DL01 LAC 9427,16,46,DC46,11/5/2023 17:14,11/5/2023 17:15,DC52,12/5/2023 7:11,12/5/2023 7:12,8.89,13hr 56min,00hr 18min,00hr 0min,13hr 37min,Route Link
DL01 LAC 9427,17,46,DC52,12/5/2023 7:11,12/5/2023 7:12,DC46,12/5/2023 7:22,12/5/2023 9:36,3.69,00hr 10min,00hr 9min,02hr 13min,00hr 1min,Route Link
DL01 LAC 9427,18,46,DC46,12/5/2023 7:22,12/5/2023 9:36,DC46,12/5/2023 11:35,12/5/2023 13:16,13.42,01hr 59min,00hr 50min,01hr 41min,01hr 8min,Route Link
DL01 LAC 9427,19,46,DC46,12/5/2023 11:35,12/5/2023 13:16,DC46,13/05/2023 09:18 AM,13/05/2023 10:52 AM,119.94,20hr 2min,04hr 18min,01hr 33min,15hr 43min,Route Link
DL01 LAC 9427,20,46,DC46,13/05/2023 09:18 AM,13/05/2023 10:52 AM,DC46,13/05/2023 12:05 PM,13/05/2023 02:37 PM,4.82,01hr 13min,00hr 16min,02hr 32min,00hr 56min,Route Link
DL01 LAC 9427,21,46,DC46,13/05/2023 12:05 PM,13/05/2023 02:37 PM,DC46,13/05/2023 03:01 PM,13/05/2023 03:10 PM,1.24,00hr 23min,00hr 3min,00hr 9min,00hr 20min,Route Link
DL01 LAC 9427,22,46,DC46,13/05/2023 03:01 PM,13/05/2023 03:10 PM,DC46,13/05/2023 03:24 PM,13/05/2023 03:25 PM,1.6,00hr 13min,00hr 7min,00hr 1min,00hr 6min,Route Link
DL01 LAC 9427,23,46,DC46,13/05/2023 03:24 PM,13/05/2023 03:25 PM,DC46,13/05/2023 03:31 PM,13/05/2023 03:31 PM,0.8,00hr 5min,00hr 2min,00hr 0min,00hr 3min,Route Link
DL01 LAC 9427,24,46,DC46,13/05/2023 03:31 PM,13/05/2023 03:31 PM,DC52,14/05/2023 08:03 AM,14/05/2023 08:03 AM,19.24,16hr 31min,00hr 56min,00hr 0min,15hr 35min,Route Link
DL01 LAC 9427,25,46,DC52,14/05/2023 08:03 AM,14/05/2023 08:03 AM,DC46,14/05/2023 08:13 AM,14/05/2023 09:54 AM,3.88,00hr 9min,00hr 9min,01hr 40min,00hr 0min,Route Link
DL01 LAC 9427,26,46,DC46,14/05/2023 08:13 AM,14/05/2023 09:54 AM,DC46,14/05/2023 11:40 AM,14/05/2023 11:48 AM,17.4,01hr 46min,00hr 50min,00hr 8min,00hr 56min,Route Link
DL01 LAC 9427,27,46,DC46,14/05/2023 11:40 AM,14/05/2023 11:48 AM,DC46,14/05/2023 11:52 AM,14/05/2023 01:38 PM,0.42,00hr 3min,00hr 1min,01hr 45min,00hr 2min,Route Link
DL01 LX 3200,1,46,DC46,8/5/2023 7:50,8/5/2023 9:22,DC46,8/5/2023 11:49,8/5/2023 11:50,15.72,02hr 26min,00hr 46min,00hr 0min,01hr 40min,Route Link
DL01 LX 3200,2,46,DC46,8/5/2023 11:49,8/5/2023 11:50,DC46,8/5/2023 11:51,8/5/2023 15:14,0.18,00hr 1min,00hr 1min,03hr 23min,00hr 0min,Route Link
DL01 LX 3200,3,46,DC46,8/5/2023 11:51,8/5/2023 15:14,DC46,9/5/2023 7:38,9/5/2023 9:21,44.91,16hr 24min,01hr 57min,01hr 42min,14hr 27min,Route Link
DL01 LX 3200,4,46,DC46,9/5/2023 7:38,9/5/2023 9:21,DC46,9/5/2023 11:41,9/5/2023 13:09,8.88,02hr 19min,00hr 25min,01hr 28min,01hr 54min,Route Link
DL01 LX 3200,5,46,DC46,9/5/2023 11:41,9/5/2023 13:09,DC52,9/5/2023 13:12,9/5/2023 13:13,1.27,00hr 3min,00hr 3min,00hr 0min,00hr 0min,Route Link
DL01 LX 3200,6,46,DC52,9/5/2023 13:12,9/5/2023 13:13,DC46,10/5/2023 7:33,10/5/2023 9:24,75.07,18hr 20min,02hr 25min,01hr 50min,15hr 55min,Route Link
DL01 LX 3200,7,46,DC46,10/5/2023 7:33,10/5/2023 9:24,DC46,10/5/2023 11:17,10/5/2023 11:18,2.18,01hr 53min,00hr 11min,00hr 1min,01hr 41min,Route Link
DL01 LX 3200,8,46,DC46,10/5/2023 11:17,10/5/2023 11:18,DC46,10/5/2023 11:31,10/5/2023 14:18,0.68,00hr 13min,00hr 1min,02hr 46min,00hr 11min,Route Link
DL01 LX 3200,9,46,DC46,10/5/2023 11:31,10/5/2023 14:18,DC46,11/5/2023 7:39,11/5/2023 14:02,17.86,17hr 21min,00hr 54min,06hr 22min,16hr 27min,Route Link
DL01 LX 3200,10,46,DC46,11/5/2023 7:39,11/5/2023 14:02,DC46,12/5/2023 7:38,12/5/2023 9:25,22.6,17hr 36min,01hr 7min,01hr 46min,16hr 29min,Route Link
DL01 LX 3200,11,46,DC46,12/5/2023 7:38,12/5/2023 9:25,DC46,12/5/2023 9:26,12/5/2023 9:27,0.56,00hr 1min,00hr 1min,00hr 0min,00hr 0min,Route Link
DL01 LX 3200,12,46,DC46,12/5/2023 9:26,12/5/2023 9:27,DC46,12/5/2023 10:41,12/5/2023 10:42,3.31,01hr 14min,00hr 14min,00hr 1min,00hr 59min,Route Link
DL01 LX 3200,13,46,DC46,12/5/2023 10:41,12/5/2023 10:42,DC46,13/05/2023 11:33 AM,13/05/2023 02:16 PM,47.96,24hr 51min,02hr 10min,02hr 42min,22hr 40min,Route Link
DL01 LX 3200,14,46,DC46,13/05/2023 11:33 AM,13/05/2023 02:16 PM,DC46,14/05/2023 07:25 AM,14/05/2023 09:36 AM,40.47,17hr 9min,01hr 59min,02hr 11min,15hr 9min,Route Link
DL01 LX 3200,15,46,DC46,14/05/2023 07:25 AM,14/05/2023 09:36 AM,DC46,14/05/2023 11:43 AM,14/05/2023 02:37 PM,10.3,02hr 6min,00hr 25min,02hr 54min,01hr 41min,Route Link
DL1 LAA 9965,1,,DC46,8/5/2023 9:19,8/5/2023 9:23,DC46,8/5/2023 9:24,8/5/2023 14:30,0.18,00hr 0min,00hr 0min,05hr 5min,00hr 0min,Route Link
DL1 LAA 9965,2,,DC46,8/5/2023 9:24,8/5/2023 14:30,DC52,8/5/2023 14:57,8/5/2023 14:58,5.87,00hr 27min,00hr 14min,00hr 0min,00hr 13min,Route Link
DL1 LAA 9965,3,,DC52,8/5/2023 14:57,8/5/2023 14:58,DC46,9/5/2023 9:17,9/5/2023 12:17,92.06,18hr 18min,03hr 5min,03hr 0min,15hr 12min,Route Link
DL1 LAA 9965,4,,DC46,9/5/2023 9:17,9/5/2023 12:17,DC52,9/5/2023 12:55,9/5/2023 12:55,6.19,00hr 37min,00hr 14min,00hr 0min,00hr 23min,Route Link
DL1 LAA 9965,5,,DC52,9/5/2023 12:55,9/5/2023 12:55,DC46,10/5/2023 10:36,10/5/2023 13:25,155.28,21hr 40min,05hr 21min,02hr 48min,16hr 19min,Route Link
DL1 LAA 9965,6,,DC46,10/5/2023 10:36,10/5/2023 13:25,DC52,10/5/2023 13:44,10/5/2023 13:45,6.16,00hr 19min,00hr 14min,00hr 0min,00hr 4min,Route Link
DL1 LAA 9965,7,,DC52,10/5/2023 13:44,10/5/2023 13:45,DC46,11/5/2023 9:01,11/5/2023 9:02,74.59,19hr 16min,02hr 54min,00hr 0min,16hr 22min,Route Link
DL1 LAA 9965,8,,DC46,11/5/2023 9:01,11/5/2023 9:02,DC46,11/5/2023 9:03,11/5/2023 12:01,0.13,00hr 0min,00hr 0min,02hr 57min,00hr 0min,Route Link
DL1 LAA 9965,9,,DC46,11/5/2023 9:03,11/5/2023 12:01,DC52,11/5/2023 12:38,11/5/2023 12:39,5.61,00hr 37min,00hr 15min,00hr 0min,00hr 22min,Route Link
